band_index,wavelength_nm,fwhm_nm
0,996.34,5.61
1,1001.95,5.61
2,1007.56,5.61
3,1013.17,5.61
4,1018.78,5.61
5,1024.39,5.61
6,1030.0,5.61
7,1035.61,5.61
8,1041.22,5.61
9,1046.82,5.61
10,1052.43,5.61
11,1058.03,5.6
12,1063.63,5.6
13,1069.24,5.6
14,1074.84,5.6
15,1080.44,5.6
16,1086.04,5.6
17,1091.64,5.6
18,1097.24,5.6
19,1102.83,5.6
20,1108.43,5.6
21,1114.03,5.6
22,1119.62,5.6
23,1125.22,5.59
24,1130.81,5.59
25,1136.4,5.59
26,1141.99,5.59
27,1147.59,5.59
28,1153.18,5.59
29,1158.76,5.59
30,1164.35,5.59
31,1169.94,5.59
32,1175.53,5.59
33,1181.11,5.59
34,1186.7,5.59
35,1192.29,5.58
36,1197.87,5.58
37,1203.45,5.58
38,1209.04,5.58
39,1214.62,5.58
40,1220.2,5.58
41,1225.78,5.58
42,1231.36,5.58
43,1236.94,5.58
44,1242.52,5.58
45,1248.09,5.58
46,1253.67,5.58
47,1259.25,5.58
48,1264.82,5.58
49,1270.4,5.57
50,1275.97,5.57
51,1281.54,5.57
52,1287.12,5.57
53,1292.69,5.57
54,1298.26,5.57
55,1303.83,5.57
56,1309.4,5.57
57,1314.97,5.57
58,1320.54,5.57
59,1326.1,5.57
60,1331.67,5.57
61,1337.24,5.57
62,1342.8,5.57
63,1348.37,5.57
64,1353.93,5.56
65,1359.5,5.56
66,1365.06,5.56
67,1370.62,5.56
68,1376.19,5.56
69,1381.75,5.56
70,1387.31,5.56
71,1392.87,5.56
72,1398.43,5.56
73,1403.99,5.56
74,1409.55,5.56
75,1415.11,5.56
76,1420.66,5.56
77,1426.22,5.56
78,1431.78,5.56
79,1437.33,5.56
80,1442.89,5.56
81,1448.44,5.55
82,1454.0,5.55
83,1459.55,5.55
84,1465.1,5.55
85,1470.65,5.55
86,1476.21,5.55
87,1481.76,5.55
88,1487.31,5.55
89,1492.86,5.55
90,1498.41,5.55
91,1503.96,5.55
92,1509.51,5.55
93,1515.06,5.55
94,1520.6,5.55
95,1526.15,5.55
96,1531.7,5.55
97,1537.24,5.55
98,1542.79,5.55
99,1548.33,5.55
100,1553.88,5.54
101,1559.42,5.54
102,1564.97,5.54
103,1570.51,5.54
104,1576.05,5.54
105,1581.6,5.54
106,1587.14,5.54
107,1592.68,5.54
108,1598.22,5.54
109,1603.76,5.54
110,1609.3,5.54
111,1614.84,5.54
112,1620.38,5.54
113,1625.92,5.54
114,1631.46,5.54
115,1637.0,5.54
116,1642.54,5.54
117,1648.07,5.54
118,1653.61,5.54
119,1659.15,5.54
120,1664.68,5.54
121,1670.22,5.54
122,1675.75,5.54
123,1681.29,5.54
124,1686.82,5.53
125,1692.36,5.53
126,1697.89,5.53
127,1703.43,5.53
128,1708.96,5.53
129,1714.49,5.53
130,1720.02,5.53
131,1725.56,5.53
132,1731.09,5.53
133,1736.62,5.53
134,1742.15,5.53
135,1747.68,5.53
136,1753.21,5.53
137,1758.74,5.53
138,1764.27,5.53
139,1769.8,5.53
140,1775.33,5.53
141,1780.86,5.53
142,1786.39,5.53
143,1791.92,5.53
144,1797.45,5.53
145,1802.98,5.53
146,1808.5,5.53
147,1814.03,5.53
148,1819.56,5.53
149,1825.08,5.53
150,1830.61,5.53
151,1836.14,5.53
152,1841.66,5.53
153,1847.19,5.53
154,1852.71,5.53
155,1858.24,5.53
156,1863.77,5.53
157,1869.29,5.52
158,1874.81,5.52
159,1880.34,5.52
160,1885.86,5.52
161,1891.39,5.52
162,1896.91,5.52
163,1902.44,5.52
164,1907.96,5.52
165,1913.48,5.52
166,1919.01,5.52
167,1924.53,5.52
168,1930.05,5.52
169,1935.57,5.52
170,1941.1,5.52
171,1946.62,5.52
172,1952.14,5.52
173,1957.66,5.52
174,1963.18,5.52
175,1968.71,5.52
176,1974.23,5.52
177,1979.75,5.52
178,1985.27,5.52
179,1990.79,5.52
180,1996.31,5.52
181,2001.83,5.52
182,2007.35,5.52
183,2012.87,5.52
184,2018.39,5.52
185,2023.91,5.52
186,2029.43,5.52
187,2034.95,5.52
188,2040.47,5.52
189,2045.99,5.52
190,2051.51,5.52
191,2057.03,5.52
192,2062.55,5.52
193,2068.07,5.52
194,2073.59,5.52
195,2079.11,5.52
196,2084.63,5.52
197,2090.15,5.52
198,2095.67,5.52
199,2101.19,5.52
200,2106.71,5.52
201,2112.23,5.52
202,2117.75,5.52
203,2123.27,5.52
204,2128.79,5.52
205,2134.31,5.52
206,2139.83,5.52
207,2145.35,5.52
208,2150.86,5.52
209,2156.38,5.52
210,2161.9,5.52
211,2167.42,5.52
212,2172.94,5.52
213,2178.46,5.52
214,2183.98,5.52
215,2189.5,5.52
216,2195.02,5.52
217,2200.54,5.52
218,2206.06,5.52
219,2211.58,5.52
220,2217.1,5.52
221,2222.62,5.52
222,2228.13,5.52
223,2233.65,5.52
224,2239.17,5.52
225,2244.69,5.52
226,2250.21,5.52
227,2255.73,5.52
228,2261.25,5.52
229,2266.77,5.52
230,2272.29,5.52
231,2277.81,5.52
232,2283.33,5.52
233,2288.86,5.52
234,2294.38,5.52
235,2299.9,5.52
236,2305.42,5.52
237,2310.94,5.52
238,2316.46,5.52
239,2321.98,5.52
240,2327.5,5.52
241,2333.02,5.52
242,2338.55,5.52
243,2344.07,5.52
244,2349.59,5.52
245,2355.11,5.52
246,2360.63,5.52
